"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""ФОИВ""";
"=""Категория поставщика""";"=""РОИВ""";
"=""Поставщик сервисов""";"=""""";
"=""Сервис""";"=""""";
"=""Выберите период формирования отчета с""";"=""06.04.2015""";
"=""по""";"=""08.04.2015""";
"=""Время генерации отчета""";"=""13.04.2015 14:39:16""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Брянская область""";"=""РОИВ""";"=""Управление информационных технологий администрации области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""532""";"=""532""";"=""0""";
"=""Брянская область""";"=""РОИВ""";"=""Управление информационных технологий администрации области""";"=""Согласование маршрута""";"=""SID0001027""";"=""ФОИВ""";"=""Федеральная служба по надзору в сфере транспорта (Ространснадзор)""";"=""145183427552252931386885""";"=""Федеральный уровень""";"=""7020""";"=""7020""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Выписка из домовой книги""";"=""SID0001002""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""27622""";"=""27622""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""4""";"=""4""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""3486""";"=""3486""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""8544""";"=""8544""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""4""";"=""4""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Решение органа местного самоуправления о переводе жилого помещения в нежилое, нежилого в жилое""";"=""SID0001007""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""2618""";"=""2618""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Документ, подтверждающий принадлежность земельного участка к определенной категории земель""";"=""SID0001008""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""526""";"=""526""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Документ, подтверждающий установленное разрешенное использование земельного участка""";"=""SID0001009""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""9592""";"=""9592""";"=""0""";
"=""Владимирская область""";"=""РОИВ""";"=""Комитет информатизации, связи и телекоммуникаций администрации Владимирской области""";"=""Выписка из реестра государственной (муниципальной) собственности""";"=""SID0001010""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""6524""";"=""6524""";"=""0""";
