"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""ФОИВ""";
"=""Категория поставщика""";"=""РОИВ""";
"=""Выберите период формирования отчета с""";"=""04.06.2015""";
"=""по""";"=""04.06.2015""";
"=""Время генерации отчета""";"=""20.07.2015 13:13:42""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"Электронный сервис запроса справки органа, осуществляющего пенсионное обеспечение заявителя, выданная не ранее чем за месяц до даты обращения, содержащая сведения о суммах денежных выплат, установленных ему в соответствии с законодательством Российской Федерации по состоянию на дату ";"=""SID0003569""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""306""";"=""306""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Электронный сервис передачи сведений из разрешений, выдаваемых административным органом Конвенции о международной торговле видами дикой фауны и флоры, находящимися под угрозой исчезновения (СИТЕС) """;"=""SID0003571""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""86""";"=""86""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Сервис для приема заявок с Единого портала государственных услуг""";"=""SID0003574""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""188""";"=""188""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Сервис Организация приёма граждан, обеспечение своевременного и полного рассмотрения устных и письменных обращений граждан, принятие по ним решений и направление заявителям ответов в установленный законодательством Российской Федерации срок""";"=""SID0003656""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""162""";"=""162""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""""";"=""SID0003658""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""972""";"=""972""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""""";"=""SID0004473""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""15""";"=""15""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""""";"=""SID0004475""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""59""";"=""59""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""25""";"=""25""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""47""";"=""47""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Документ, подтверждающий принадлежность земельного участка к определенной категории земель""";"=""SID0001008""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""32""";"=""32""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""31""";"=""31""";"=""0""";
