"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""РОИВ""";
"=""Категория поставщика""";"=""ФОИВ""";
"=""Поставщик сервисов""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Сервис""";"=""""";
"=""Выберите период формирования отчета с""";"=""05.01.2015""";
"=""по""";"=""11.01.2015""";
"=""Время генерации отчета""";"=""12.01.2015 13:41:53""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Тестовый контур""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0003379""";"=""РОИВ""";"=""Департамент социального развития Ханты-Мансийского автономного округа - Югры""";"=""195207852841709128912695""";"=""Ханты-Мансийский автономный округ - Югра""";"=""2235""";"=""0""";"=""2235""";
"=""Томская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Тульская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Тюменская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Ульяновская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Главы Республики Бурятия и Правительства Республики Бурятия""";"=""534666898808841726592306""";"=""Республика Бурятия""";"=""648""";"=""0""";"=""648""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Канашского района Чувашской Республики""";"=""414864528992284251783386""";"=""Чувашская Республика-Чувашия""";"=""3""";"=""0""";"=""3""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Кузнецкого района города Новокузнецка Кемеровской области""";"=""339771861493650124964261""";"=""Кемеровская область""";"=""1765""";"=""0""";"=""1765""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Надеждинского муниципального района""";"=""268467516448448087851181""";"=""Приморский край""";"=""56""";"=""0""";"=""56""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Новоильинского района города Новокузнецка""";"=""246278681341810536613537""";"=""Кемеровская область""";"=""185""";"=""0""";"=""185""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Орджоникидзевского района города Новокузнецка Кемеровской области""";"=""206233980343548953756370""";"=""Кемеровская область""";"=""1532""";"=""0""";"=""1532""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Томской области""";"=""164187364571680836951484""";"=""Томская область""";"=""1""";"=""0""";"=""1""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Уссурийского городского округа Приморского края""";"=""389761918688454246400187""";"=""Приморский край""";"=""92""";"=""0""";"=""92""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация муниципального района г.Нерехта и Нерехтский район Костромской области""";"=""2404062250250885051605730631298908425""";"=""Костромская область""";"=""27774""";"=""0""";"=""27774""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Главное управление информационных технологий и связи Омской области""";"=""532691485185758887674207""";"=""Омская область""";"=""212""";"=""0""";"=""212""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Главное управление информационных технологий и связи Омской области""";"=""532691485185758887674207""";"=""Омская область""";"=""212""";"=""0""";"=""212""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Главное управление информационных технологий и связи Омской области""";"=""532691485185758887674207""";"=""Омская область""";"=""212""";"=""0""";"=""212""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Главное управление информационных технологий и связи Омской области""";"=""532691485185758887674207""";"=""Омская область""";"=""212""";"=""0""";"=""212""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Государственное автономное учреждение Республики Мордовия «Госинформ»""";"=""99972800825301254800593""";"=""Республика Мордовия""";"=""39""";"=""0""";"=""39""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"Государственное учреждение ""Новгородский информационно-аналитический центр""";"=""597849463263572197901110""";"=""Новгородская область""";"=""495""";"=""0""";"=""495""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"Государственное учреждение ""Новгородский информационно-аналитический центр""";"=""597849463263572197901110""";"=""Новгородская область""";"=""396""";"=""0""";"=""396""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Департамент Смоленской области по информационным технологиям, связи и обеспечению предоставления услуг в электронном виде""";"=""125463997186100210702876""";"=""Смоленская область""";"=""1""";"=""0""";"=""1""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Департамент информационных технологий Кемеровской области""";"=""121975906357393255040413""";"=""Кемеровская область""";"=""1263""";"=""0""";"=""1263""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Департамент информационных технологий Кемеровской области""";"=""121975906357393255040413""";"=""Кемеровская область""";"=""2""";"=""0""";"=""2""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Департамент информационных технологий Кемеровской области""";"=""121975906357393255040413""";"=""Кемеровская область""";"=""3""";"=""0""";"=""3""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Департамент информационных технологий Кемеровской области""";"=""121975906357393255040413""";"=""Кемеровская область""";"=""1""";"=""0""";"=""1""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Департамент информационных технологий Кемеровской области""";"=""121975906357393255040413""";"=""Кемеровская область""";"=""2""";"=""0""";"=""2""";
