"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""РОИВ""";
"=""Категория поставщика""";"=""ФОИВ""";
"=""Поставщик сервисов""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Сервис""";"=""(SID0003564) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";
"=""Выберите период формирования отчета с""";"=""19.01.2015""";
"=""по""";"=""25.01.2015""";
"=""Время генерации отчета""";"=""26.01.2015 16:39:42""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Аткарского муниципального района Саратовской области""";"=""2406290039258227492678517948967944207""";"=""Саратовская область""";"=""658""";"=""301""";"=""357""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Баженовского сельского поселения""";"=""2409844197735115731471222754693677068""";"=""Свердловская область""";"=""77""";"=""35""";"=""42""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Базарно-Карабулакского муниципального района Саратовской области""";"=""2406150157909113125672093608837513231""";"=""Саратовская область""";"=""1708""";"=""679""";"=""1029""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Балаковского муниципального района Саратовской области""";"=""127377743300947557261126""";"=""Саратовская область""";"=""11032""";"=""4396""";"=""6636""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Балашовского муниципального района Саратовской области""";"=""2406257405601795234382779787862474767""";"=""Саратовская область""";"=""5453""";"=""2142""";"=""3311""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Батыревского района Чувашской Респубики""";"=""366720773974641403234806""";"=""Чувашская Республика-Чувашия""";"=""455""";"=""154""";"=""301""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Батыревского района Чувашской Респубики""";"=""366720773974641403234806""";"=""Чувашская Республика-Чувашия""";"=""91""";"=""35""";"=""56""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Белоевского сельского поселения Пермского края""";"=""36139""";"=""Пермский край""";"=""56""";"=""14""";"=""42""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Белозерского района Курганской области""";"=""147985709948207456327975""";"=""Курганская область""";"=""175""";"=""84""";"=""91""";
"=""Федеральный уровень""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""SID0003564""";"=""РОИВ""";"=""Администрация Белоярского городского округа""";"=""354691380709707864880283""";"=""Свердловская область""";"=""77""";"=""28""";"=""49""";
