"=""Статистика недоступности электронных сервисов""";

"=""Выберите узел СМЭВ""";"=""Федеральный уровень""";
"=""Выберите поставщика сервиса""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Выберите информационные системы""";"=""(RRTR01) Информационная система Росреестра,(RRTR02) Информационные системы Росреестра""";
"=""Выберите сервисы""";"(SID0003564) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде,(SID0003187) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде";
"=""Выберите период формирования отчета с""";"=""01.01.2013 00:00:00""";
"=""по""";"=""28.02.2013 00:00:00""";
"=""Время генерации отчета""";"=""01.03.2013 14:01:07""";

"=""Идентификатор сервиса""";"=""Сервис""";"=""Общее время недоступности""";"=""Процент недоступности""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 07:47:25""";"=""20.01.2013 07:52:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 08:48:25""";"=""20.01.2013 08:52:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 09:33:25""";"=""20.01.2013 09:37:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 09:43:25""";"=""20.01.2013 09:47:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 10:48:25""";"=""20.01.2013 10:52:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 11:13:25""";"=""20.01.2013 11:22:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 11:53:25""";"=""20.01.2013 11:57:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 12:12:25""";"=""20.01.2013 12:17:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 15:33:25""";"=""20.01.2013 15:37:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 16:27:25""";"=""20.01.2013 16:32:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 16:52:25""";"=""20.01.2013 16:57:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 18:08:25""";"=""20.01.2013 18:12:24""";"=""""";
