"=""Статистика недоступности электронных сервисов""";

"=""Выберите узел СМЭВ""";"=""Федеральный уровень""";
"=""Выберите поставщика сервиса""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Выберите информационные системы""";"=""(RRTR01) Информационная система Росреестра,(RRTR02) Информационные системы Росреестра""";
"=""Выберите сервисы""";"(SID0003564) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде,(SID0003187) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде";
"=""Выберите период формирования отчета с""";"=""01.01.2013 00:00:00""";
"=""по""";"=""28.02.2013 00:00:00""";
"=""Время генерации отчета""";"=""01.03.2013 14:01:07""";

"=""Идентификатор сервиса""";"=""Сервис""";"=""Общее время недоступности""";"=""Процент недоступности""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""22.02.2013 11:44:57""";"=""22.02.2013 11:49:40""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""22.02.2013 18:34:58""";"=""22.02.2013 18:39:42""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""23.02.2013 00:19:58""";"=""23.02.2013 00:28:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""23.02.2013 02:29:59""";"=""23.02.2013 02:33:58""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""23.02.2013 02:39:59""";"=""23.02.2013 02:44:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""23.02.2013 07:48:59""";"=""23.02.2013 12:33:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""24.02.2013 03:40:02""";"=""24.02.2013 03:44:01""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""24.02.2013 09:40:07""";"=""24.02.2013 09:49:15""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""24.02.2013 11:25:03""";"=""24.02.2013 11:29:58""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""24.02.2013 12:44:03""";"=""24.02.2013 12:49:02""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""24.02.2013 14:55:03""";"=""24.02.2013 14:59:03""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""24.02.2013 15:55:03""";"=""24.02.2013 15:59:02""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""24.02.2013 16:45:03""";"=""24.02.2013 16:49:02""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""24.02.2013 18:10:04""";"=""24.02.2013 18:19:02""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""25.02.2013 04:40:05""";"=""25.02.2013 04:44:04""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""25.02.2013 06:40:05""";"=""25.02.2013 06:44:04""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""25.02.2013 09:49:05""";"=""25.02.2013 09:54:04""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""25.02.2013 10:10:05""";"=""25.02.2013 10:14:08""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""26.02.2013 01:54:07""";"=""26.02.2013 01:59:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""26.02.2013 07:00:08""";"=""26.02.2013 07:04:07""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""01.01.2013 00:00:00""";"=""09.01.2013 16:21:53""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.01.2013 19:31:00""";"=""11.01.2013 19:34:59""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.01.2013 20:26:00""";"=""11.01.2013 20:29:59""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.01.2013 22:16:00""";"=""11.01.2013 22:19:59""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.01.2013 23:50:01""";"=""11.01.2013 23:55:00""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 00:16:01""";"=""12.01.2013 00:20:00""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 03:16:01""";"=""12.01.2013 03:20:00""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 03:26:01""";"=""12.01.2013 03:35:00""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 12:48:03""";"=""12.01.2013 12:52:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 18:53:03""";"=""12.01.2013 18:57:25""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 20:43:04""";"=""12.01.2013 20:47:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 20:53:03""";"=""12.01.2013 20:57:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 22:53:04""";"=""12.01.2013 22:57:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 23:23:04""";"=""12.01.2013 23:27:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.01.2013 23:38:04""";"=""12.01.2013 23:52:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 04:02:04""";"=""13.01.2013 04:07:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 04:51:02""";"=""13.01.2013 04:55:01""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 05:01:02""";"=""13.01.2013 05:05:01""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 13:45:03""";"=""13.01.2013 13:50:01""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 14:11:02""";"=""13.01.2013 14:15:01""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 14:46:03""";"=""13.01.2013 14:50:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 14:56:03""";"=""13.01.2013 15:00:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 15:36:03""";"=""13.01.2013 15:40:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 16:31:03""";"=""13.01.2013 16:40:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 17:31:03""";"=""13.01.2013 17:40:08""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 20:56:03""";"=""13.01.2013 21:00:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 21:56:03""";"=""13.01.2013 22:00:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.01.2013 23:40:03""";"=""13.01.2013 23:45:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 02:01:03""";"=""14.01.2013 02:10:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 03:45:03""";"=""14.01.2013 03:50:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 03:56:03""";"=""14.01.2013 04:00:02""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 13:31:03""";"=""14.01.2013 13:35:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 14:46:04""";"=""14.01.2013 14:50:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 18:56:15""";"=""14.01.2013 19:05:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 20:01:04""";"=""14.01.2013 20:05:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 20:11:04""";"=""14.01.2013 20:15:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 21:21:04""";"=""14.01.2013 21:25:35""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 21:41:04""";"=""14.01.2013 21:45:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 22:26:04""";"=""14.01.2013 22:30:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 22:46:04""";"=""14.01.2013 22:55:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.01.2013 23:51:06""";"=""15.01.2013 00:00:03""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.01.2013 02:03:11""";"=""15.01.2013 02:12:10""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.01.2013 04:02:11""";"=""15.01.2013 04:07:10""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.01.2013 04:53:11""";"=""15.01.2013 04:57:10""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.01.2013 05:33:11""";"=""15.01.2013 05:42:10""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.01.2013 11:18:12""";"=""15.01.2013 11:22:11""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.01.2013 15:31:05""";"=""15.01.2013 15:35:04""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.01.2013 15:41:05""";"=""15.01.2013 15:50:04""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""16.01.2013 04:22:13""";"=""16.01.2013 04:27:12""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""16.01.2013 05:53:15""";"=""16.01.2013 05:57:14""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""16.01.2013 08:43:16""";"=""16.01.2013 08:47:15""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""16.01.2013 18:33:17""";"=""16.01.2013 18:37:46""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""16.01.2013 20:38:17""";"=""16.01.2013 20:47:16""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""17.01.2013 07:18:18""";"=""17.01.2013 07:27:17""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""17.01.2013 15:53:19""";"=""17.01.2013 15:57:18""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""17.01.2013 16:16:09""";"=""17.01.2013 16:20:09""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""18.01.2013 02:13:25""";"=""18.01.2013 02:22:22""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 02:58:24""";"=""19.01.2013 03:07:23""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 03:53:24""";"=""19.01.2013 03:57:23""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 07:23:26""";"=""19.01.2013 07:27:25""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 10:18:26""";"=""19.01.2013 10:27:25""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 13:32:26""";"=""19.01.2013 13:37:25""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 14:13:27""";"=""19.01.2013 14:17:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 15:47:26""";"=""19.01.2013 15:52:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 16:18:26""";"=""19.01.2013 16:22:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 16:28:26""";"=""19.01.2013 16:32:25""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 17:23:26""";"=""19.01.2013 17:32:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 21:58:27""";"=""19.01.2013 22:02:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 22:13:27""";"=""19.01.2013 22:17:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.01.2013 23:58:27""";"=""20.01.2013 00:02:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 00:28:27""";"=""20.01.2013 00:42:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 02:13:27""";"=""20.01.2013 02:17:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 09:33:27""";"=""20.01.2013 09:37:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 10:48:28""";"=""20.01.2013 10:57:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 11:18:27""";"=""20.01.2013 11:22:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 11:53:27""";"=""20.01.2013 11:57:26""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 15:38:28""";"=""20.01.2013 15:42:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 16:47:28""";"=""20.01.2013 16:52:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 16:58:28""";"=""20.01.2013 17:02:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 18:03:28""";"=""20.01.2013 18:12:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 18:58:28""";"=""20.01.2013 19:02:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 19:18:28""";"=""20.01.2013 19:27:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 19:58:28""";"=""20.01.2013 20:02:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 21:03:28""";"=""20.01.2013 21:07:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 21:23:28""";"=""20.01.2013 21:32:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 22:28:28""";"=""20.01.2013 22:32:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.01.2013 22:47:28""";"=""20.01.2013 22:57:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 00:13:28""";"=""21.01.2013 00:17:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 02:03:28""";"=""21.01.2013 02:07:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 03:03:28""";"=""21.01.2013 03:07:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 03:28:28""";"=""21.01.2013 03:32:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 07:27:28""";"=""21.01.2013 07:32:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 11:38:28""";"=""21.01.2013 11:42:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 11:58:28""";"=""21.01.2013 12:02:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 16:28:28""";"=""21.01.2013 16:32:27""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 20:02:44""";"=""21.01.2013 20:12:28""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""21.01.2013 23:43:29""";"=""21.01.2013 23:47:28""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""22.01.2013 00:28:29""";"=""22.01.2013 00:32:28""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""22.01.2013 05:13:29""";"=""22.01.2013 05:17:28""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""22.01.2013 07:28:29""";"=""22.01.2013 07:32:28""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""22.01.2013 08:17:29""";"=""22.01.2013 08:22:28""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""22.01.2013 23:28:30""";"=""22.01.2013 23:32:29""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""23.01.2013 00:33:30""";"=""23.01.2013 00:37:29""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""23.01.2013 02:03:30""";"=""23.01.2013 02:07:29""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""23.01.2013 03:13:30""";"=""23.01.2013 03:17:29""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""23.01.2013 07:18:30""";"=""23.01.2013 07:22:29""";"=""""";
"=""(00-SID0003564) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""23.01.2013 10:13:30""";"=""23.01.2013 10:17:29""";"=""""";
